id,name,symbol,  high  ,  low  ,percentageChange,  change  ,  price  ,  quantity  ,issueDate, sharevolume , tradevolume ,   turnover   ,lastTradedTime,    marketCap    , marketCapPercentage , issuedQTY ,date_scraped
297,JOHN KEELLS HOLDINGS PLC,JKH.N0000,20.5,19.5,4.69,0.9,20.1,50000,1986-10-23,17342645,992,345884517.50,2025-04-10 14:29,354000000000.00,6.37,17624630203,2025-04-10
410,L O L C HOLDINGS PLC,LOLC.N0000,599,559.75,7.8,42,580.25,427,1982-01-01,95746,254,55342187.75,2025-04-10 14:28,276000000000.00,4.96,475200000,2025-04-10
381,CEYLON TOBACCO COMPANY PLC,CTC.N0000,1384.5,1335,3.04,39.5,1337.5,10,1955-01-01,5641,92,7645720.75,2025-04-10 14:22,251000000000.00,4.51,187323751,2025-04-10
208,COMMERCIAL BANK OF CEYLON PLC,COMB.N0000,145,136,9.39,12,139.75,39018,1970-01-01,4448252,914,625710338.30,2025-04-10 14:28,212000000000.00,3.81,1515561695,2025-04-10
1847,LOLC FINANCE PLC,LOFC.N0000,6,5.8,3.57,0.2,5.8,1,2011-07-07,3538904,180,20826956.00,2025-04-10 14:29,192000000000.00,3.45,33079212299,2025-04-10
68,DISTILLERIES COMPANY OF SRI LANKA PLC,DIST.N0000,36.8,35.5,5.2,1.8,36.4,30,1992-08-10,549538,108,19676996.00,2025-04-10 14:27,167000000000.00,3.01,4600000000,2025-04-10
3695,MELSTACORP PLC,MELS.N0000,140,125,4.45,5.5,129,1000,2016-12-30,419792,114,54726013.25,2025-04-10 14:19,150000000000.00,2.7,1165397072,2025-04-10
172,HATTON NATIONAL BANK PLC,HNB.N0000,312,292,9.54,26.25,301.5,109,1971-01-01,2034346,628,618810074.30,2025-04-10 14:29,137000000000.00,2.47,455968474,2025-04-10
266,SAMPATH BANK PLC,SAMP.N0000,115,110.25,8.41,8.75,112.75,500,1987-06-10,6269427,1749,708557172.30,2025-04-10 14:29,132000000000.00,2.38,1172700760,2025-04-10
471,DIALOG AXIATA PLC,DIAL.N0000,14,13.7,1.47,0.2,13.8,250,2005-07-28,1288731,162,17859756.40,2025-04-10 14:23,127000000000.00,2.28,9200334994,2025-04-10
551,CARGILLS (CEYLON) PLC,CARG.N0000,439,435,-0.29,-1.25,435.25,40000,1946-01-01,40315,15,17547073.50,2025-04-10 13:48,112000000000.00,2.02,257677731,2025-04-10
556,SRI LANKA TELECOM PLC,SLTL.N0000,61,58,2.92,1.7,60,100,2003-01-14,39436,65,2359767.60,2025-04-10 14:19,108000000000.00,1.95,1804860000,2025-04-10
1851,BROWNS INVESTMENTS PLC,BIL.N0000,7.5,7.1,7.35,0.5,7.3,200,2011-07-26,22067018,746,161064171.90,2025-04-10 14:29,105000000000.00,1.89,14369717460,2025-04-10
415,LION BREWERY (CEYLON) PLC,LION.N0000,1300,1289.5,0.25,3.25,1292.75,2,1997-01-22,189,10,244280.50,2025-04-10 14:04,103000000000.00,1.86,80000000,2025-04-10
175,HAYLEYS PLC,HAYL.N0000,139,134.5,4.82,6.25,136,1056,1953-01-01,797683,342,109013869.30,2025-04-10 14:22,102000000000.00,1.83,750000000,2025-04-10
336,CARSON CUMBERBATCH PLC,CARS.N0000,440,429.5,2.32,9.75,429.75,9,1967-01-01,425,10,182662.50,2025-04-10 14:17,84397276292.00,1.52,196386914,2025-04-10
510,C T HOLDINGS PLC,CTHR.N0000,385,384,0, -   ,386.5,1,2028-01-01,55,6,21173.00,2025-04-10 14:07,77843796997.00,1.4,201406978,2025-04-10
426,CEYLON COLD STORES PLC,CCS.N0000,85,81,2.38,1.9,81.7,1000,1970-01-01,232472,119,18994219.80,2025-04-10 14:29,77647680000.00,1.4,950400000,2025-04-10
165,BUKIT DARAH PLC,BUKI.N0000,702,700,0.07,0.5,700.5,50,1970-01-01,515,8,360720.00,2025-04-10 14:13,71451000000.00,1.29,102000000,2025-04-10
1848,VALLIBEL ONE PLC,VONE.N0000,63.9,61,5.1,3,61.8,9,2011-07-08,419673,222,25986402.70,2025-04-10 14:20,70384986799.00,1.27,1138915644,2025-04-10
325,HEMAS HOLDINGS PLC,HHL.N0000,120,114,4.47,5,116.75,1282,2003-10-15,752795,168,88188041.00,2025-04-10 14:26,69735638950.00,1.25,597307400,2025-04-10
553,LANKA IOC PLC,LIOC.N0000,128,125.25,1.82,2.25,126,509,2004-12-22,322454,208,40922692.25,2025-04-10 14:26,67090678830.00,1.21,532465705,2025-04-10
91,CEYLINCO HOLDINGS PLC,CINS.N0000,3100,3100,0, -   ,2900,10,1988-04-21,20,2,62000.00,2025-04-10 12:19,58000000000.00,1.04,20000000,2025-04-10
